description,id,tag,title,url
,8692618114,mexico mexicocity accordion hdr panhandling photomatix,Mexico City accordion player,https://farm9.staticflickr.com/8265/8692618114_836ab6ab3c_b.jpg
This gentleman was playing the accordion near a small park in Montmartre. Here’s a tip for anyone taking photos of street performers: always give them a tip prior to taking their picture. They’re much more likely to smile or pose for you.,14988067616,travel paris france photography europe îledefrance places canon5dmarkiii 5dm3,The Accordion Player,https://farm6.staticflickr.com/5554/14988067616_80097dae4c_b.jpg
,16023880894,street portrait urban blackandwhite bw musician music smile accordion canterbury instrument entertainer busker busking weltmeister,"Accordion player, Canterbury",https://farm9.staticflickr.com/8670/16023880894_9b6d40a77a_b.jpg
"An accordion player from Jerez de Garcia Salinas, near Zacatecas, Mexico. Trying a few options, including this colour version. What do you think?",16066297436,musician music canon mexico zacatecas jerezdegarciasalinas,Accordion player,https://farm9.staticflickr.com/8640/16066297436_71018f07af_b.jpg
Mexico City  www.artotems.com ,11161735116,street mexico lemon mexicocity accordion streetview,Lemon Eater and Accordion Player,https://farm3.staticflickr.com/2817/11161735116_0056de6d1b_b.jpg
"PLEASE, NO invitations or self promotions, THEY WILL BE DELETED. My photos are FREE to use, just give me credit and it would be nice if you let me know, thanks.  Some accordion players from Portugal appeared and we were entertained. It was surprising to see so many young people playing this instrument.",15090558203,france town wine sony free dennis jarvis chateau lafrance globus iamcanadian stemilion “la soutard france” freepicture dennisjarvis archer10 dennisgjarvis nex7 18200diiiivc,France-001892 - Bell Tower & Accordions...,https://farm4.staticflickr.com/3937/15090558203_31a049f535_b.jpg
"PLEASE, NO invitations or self promotions, THEY WILL BE DELETED. My photos are FREE to use, just give me credit and it would be nice if you let me know, thanks.  Some accordion players from Portugal appeared and we were entertained. It was surprising to see so many young people playing this instrument.",15524404308,france town wine sony free dennis jarvis chateau lafrance globus iamcanadian stemilion “la soutard france” freepicture dennisjarvis archer10 dennisgjarvis nex7 18200diiiivc,France-001886 - Listen to the Music,https://farm9.staticflickr.com/8559/15524404308_11255e14d2_b.jpg
"The four-masted steel barque, MAGDALENE VINNEN, was built in 1921 in Kiel, Germany for F A Vinnen and Company in Bremen. On 27 February 1933, under the command of Captain Lorenz Peters, MAGDALENE VINNEN sailed into Sydney Harbour. The masts were too tall to allow the vessel to pass under the Harbour Bridge to be berthed in Pyrmont, so it was moved to Number 2 wharf in Woolloomooloo. The barque was loaded with almost 16,000 bales of wool, the fourth largest shipment to have left Sydney, before it sailed the record-breaking 82-day voyage for Falmouth, England.   The barque visited Australia again in 1935, with its cargo being wheat, lifted from Port Broughton in South Australia. The following year, the vessel was sold to Norddeutscher Lloyd, Bremen, renamed KOMMODORE JOHNSEN and used as a cargo carrier and sail-training ship. In 1945, the ship was awarded to the Soviet Union as war compensation and renamed SEDOV. When it was first built, it was the largest auxiliary barque in the world. To this day, it is still in operation and in 2011, it retained its ranking as the largest tall ship in the world.  This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century.   The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly.   Photographer: Samuel J. Hood Studio Collection  Object no. 00034581",9023063560,sailors accordion woolloomooloo shanty sailor sydneyharbour barque shipscrew capstan harbourscenes merchantvessel magdalenevinnen hoodcollection maritimeactivity foreignvessel samueljhoodcollection,Sailors and an accordion player on board MAGDALENE VINNEN,https://farm4.staticflickr.com/3776/9023063560_a6fd71bcf0_b.jpg
"PLEASE, NO invitations or self promotions, THEY WILL BE DELETED. My photos are FREE to use, just give me credit and it would be nice if you let me know, thanks.  Some accordion players from Portugal appeared and we were entertained. It was surprising to see so many young people playing this instrument.",15089920494,france town wine sony free dennis jarvis chateau lafrance globus iamcanadian stemilion “la soutard france” freepicture dennisjarvis archer10 dennisgjarvis nex7 18200diiiivc,France-001888 - Great Moves....,https://farm6.staticflickr.com/5616/15089920494_d05798ac27_b.jpg
Photo by Ximena Alfaro with her Fujifilm X-M1 camera paired with a FUJINON XC 16-50mm F3.5-5.6 OIS lens,23845651652,chile landscape photographer fujifilm fotografia fujinon fotografo johnb xm1 xt1 photographersonflickr photographersontumblr johnbankson xf18135mmf3556rlmoiswrlens ximenaalfaro ©johnbankson fujinonxf23mmf14rprimelens jaxchiletumblrcom jaxchile,Accordion player - Edificio Plaza -Ñuñoa - 2015-2,https://farm2.staticflickr.com/1517/23845651652_47e742f65f_b.jpg
"The four-masted steel barque, MAGDALENE VINNEN, was built in 1921 in Kiel, Germany for F A Vinnen and Company in Bremen. On 27 February 1933, under the command of Captain Lorenz Peters, MAGDALENE VINNEN sailed into Sydney Harbour. The masts were too tall to allow the vessel to pass under the Harbour Bridge to be berthed in Pyrmont, so it was moved to Number 2 wharf in Woolloomooloo. The barque was loaded with almost 16,000 bales of wool, the fourth largest shipment to have left Sydney, before it sailed the record-breaking 82-day voyage for Falmouth, England.   The barque visited Australia again in 1935, with its cargo being wheat, lifted from Port Broughton in South Australia. The following year, the vessel was sold to Norddeutscher Lloyd, Bremen, renamed KOMMODORE JOHNSEN and used as a cargo carrier and sail-training ship. In 1945, the ship was awarded to the Soviet Union as war compensation and renamed SEDOV. When it was first built, it was the largest auxiliary barque in the world. To this day, it is still in operation and in 2011, it retained its ranking as the largest tall ship in the world.  This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century.   The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly.   Photographer: Samuel J. Hood Studio Collection  Object no. 00024596",6872871580,sailors woolloomooloo sailor sydneyharbour barque seashanty harbourscenes merchantvessel magdalenevinnen foreignvessel samueljhoodcollection,"German sailors and an accordion player on board MAGDALENE VINNEN, March 1933",https://farm8.staticflickr.com/7217/6872871580_e945e19dd3_b.jpg
"Accordion Player with the band LaXuLu (ama) at the Off The Tracks festival, Donington Park Farmhouse, Isley Walton, Derbyshire, UK.    www.offthetracks.co.uk/    www.laxula.com/",238574811,uk derbyshire gimp accordion offthetracks isleywalton doningtonparkfarmhouse laxulaama,Accordion Player,https://farm1.staticflickr.com/83/238574811_845b12af26_b.jpg
,54311941,oktoberfest octoberfest beergarden losangeles california torrance alpinevillage musician player accordion bw blackwhite blackandwhite portrait hohner,Accordion player,https://farm1.staticflickr.com/24/54311941_b5338ec52b_o.jpg
"Color coordinated.Carly, an accordion player with newly purple hair, in Asheville, USA. ",2129134441,music girl asheville accordion streetperformer playful canon247028l,Streets of Asheville 2007.18,https://farm3.staticflickr.com/2420/2129134441_850639b701_b.jpg
Accordion player Sergei Teleshev,9868308576,concert theater live liveperformance wildish simplylove halieloren,halie-loren-september-2013-9342,https://farm4.staticflickr.com/3762/9868308576_b3d5a3ae6c_b.jpg
Vote this picture on JPG Magazine!  Visit my new photoblog!,1472162322,people blackandwhite bw italy white black radio italia shadows gorilla piano accordion bn e piazza duomo bianco nero siracusa ortigia squeezebox fisarmonica sebastiano 25faves pitruzzello sebastianopitruzzello sebastianopitruzzellogorillaradio 2007interphoto,Squeeze box player in Ortigia,https://farm2.staticflickr.com/1007/1472162322_1d9b1905f9_o.jpg
Photo by Ximena Alfaro with her Fujifilm X-M1 camera paired with a FUJINON XC 16-50mm F3.5-5.6 OIS lens,23327162143,chile landscape photographer fujifilm fotografia fujinon fotografo johnb xm1 xt1 photographersonflickr photographersontumblr johnbankson xf18135mmf3556rlmoiswrlens ximenaalfaro ©johnbankson fujinonxf23mmf14rprimelens jaxchiletumblrcom jaxchile,Accordion player - Edificio Plaza -Ñuñoa - 2015-3,https://farm2.staticflickr.com/1608/23327162143_61e68b0928_b.jpg
"only rarely do they let accordion players in the library, but our branch is closing for two years, so they made an exception...  Shes even cuter this way  I have inquired, and she is Luz Gaxiola of Circus Finelli www.circusfinelli.com/home.html",2258975829,sanfrancisco california red musician yellow nose boots library clown accordion player bernalheights pigtails supercute luzgaxiola circusfinelli,at the library,https://farm3.staticflickr.com/2265/2258975829_0071d8d249_o.jpg
